fold,epoch,correct,ACC,Macro-F1,BACC,Probability Macro-AUC,Weighted-F1
0,400,55,0.91666666666666663,0.89777636786609871,0.91532258064516137,0.97484409824509932,0.91677618659173987
1,400,57,0.94999999999999996,0.91746031746031742,0.93154761904761907,0.97917368598382748,0.95126984126984127
2,400,57,0.94999999999999996,0.96087117017349577,0.96329365079365081,0.99312868844118851,0.95018456995201173
3,400,56,0.93333333333333335,0.92911010558069373,0.90476190476190477,0.96316466334155015,0.93273001508295628
4,400,56,0.93333333333333335,0.88135298465284118,0.84126984126984128,0.96011779974044131,0.92827268379635663
5,400,55,0.91666666666666663,0.88153463451970915,0.86259920634920639,0.9771949584744396,0.91577592805204744
6,400,55,0.91666666666666663,0.93478528362249291,0.93700396825396826,0.98757058913308915,0.91697428325335295
7,400,54,0.90000000000000002,0.89469696969696966,0.93204365079365081,0.96791830090768771,0.90026515151515152
8,400,54,0.9152542372881356,0.88066614111154917,0.90937019969278043,0.95215343984444145,0.91753405530354148
9,400,57,0.96610169491525422,0.95881410256410249,0.94166666666666676,0.99227056413963444,0.96584908735332453
